20210518
========
1834651|A7|Newc|18:26|14:26|480m|Boa para Lay!
1834741|A3|Wtrfd|18:26|14:26|480m|Dutching
1834563|OR|Towc|18:28|14:28|500m|Dutching
1834692|A10|Cryfd|18:33|14:33|380m|Boa para Lay!
1834810|HP|Sheff|18:36|14:36|660m|
1834742|A7|Wtrfd|18:39|14:39|480m|
1834652|HP|Newc|18:41|14:41|480m|Boa para Lay!
1834564|OR|Towc|18:43|14:43|500m|
1834693|S4|Cryfd|18:48|14:48|540m|
1834811|A8|Sheff|18:51|14:51|500m|
1834743|A8|Wtrfd|18:52|14:52|480m|Boa para Lay!
1834726|A6|Tralee|18:53|14:53|480m|
1834565|OR|Towc|18:58|14:58|500m|
1834653|A4|Newc|18:59|14:59|480m|Boa para Lay!
1834411|A6|ShelPk|19:00|15:00|480m|
1834744|A6|Wtrfd|19:05|15:05|480m|
1834694|A10|Cryfd|19:07|15:07|380m|
1834812|A5|Sheff|19:09|15:09|500m|Boa para Lay!
1834727|A4|Tralee|19:12|15:12|480m|
1834412|A5|ShelPk|19:13|15:13|480m|
1834654|A7|Newc|19:16|15:16|480m|Boa para Lay!
1834566|OR|Towc|19:18|15:18|500m|Boa para Lay!
1834745|A4|Wtrfd|19:18|15:18|480m|
1834695|A7|Cryfd|19:24|15:24|380m|Boa para Lay!
1834413|A5|ShelPk|19:26|15:26|480m|
1834813|A8|Sheff|19:26|15:26|500m|
1834728|A5|Tralee|19:28|15:28|480m|
1834714|N3|Cork|19:30|15:30|480m|
1834746|A5|Wtrfd|19:31|15:31|480m|
1834655|HP|Newc|19:34|15:34|480m|Dutching
1834567|OR|Towc|19:36|15:36|500m|Dutching
1834414|A5|ShelPk|19:39|15:39|526m|
1834814|A4|Sheff|19:41|15:41|500m|
1834729|A2|Tralee|19:42|15:42|480m|
1834715|D4|Cork|19:43|15:43|686m|Dutching
1834696|A9|Cryfd|19:44|15:44|380m|Dutching
1834747|A3|Wtrfd|19:44|15:44|526m|Dutching
1834656|A6|Newc|19:51|15:51|480m|Dutching
1834415|A4|ShelPk|19:52|15:52|480m|
1834730|A3|Tralee|19:54|15:54|480m|Boa para Lay!
1834568|OR|Towc|19:56|15:56|500m|
1834716|N3|Cork|19:56|15:56|480m|
1834748|A3|Wtrfd|19:57|15:57|480m|
1834815|A5|Sheff|19:58|15:58|500m|Dutching
1834697|A3|Cryfd|20:03|16:03|380m|
1834416|A3|ShelPk|20:05|16:05|480m|
1834657|A5|Newc|20:06|16:06|480m|
1834717|N3|Cork|20:09|16:09|480m|
1834731|A5|Tralee|20:09|16:09|480m|Dutching
1834749|A4|Wtrfd|20:10|16:10|480m|Dutching
1834816|A7|Sheff|20:12|16:12|500m|
1834569|OR|Towc|20:17|16:17|500m|
1834417|A4|ShelPk|20:18|16:18|480m|
1834658|HP|Newc|20:21|16:21|480m|
1834718|S8|Cork|20:22|16:22|302m|
1834698|A7|Cryfd|20:23|16:23|380m|
1834750|A2|Wtrfd|20:23|16:23|480m|
